nom,sci
Accenteur mouchet,Prunella modularis
Aigrette garzette,Egretta garzetta
Bergeronnette des ruisseaux,Motacilla cinerea
Bergeronnette grise,Motacilla alba
Bernache du Canada,Branta canadensis
Blongios nain,Botaurus minutus
Bondrée apivore,Pernis apivorus
Bouvreuil pivoine,Pyrrhula pyrrhula
Bruant des roseaux,Emberiza schoeniclus
Buse variable,Buteo buteo
Canard chipeau,Mareca strepera
Canard colvert,Anas platyrhynchos
Canard mandarin,Aix galericulata
Canard souchet,Spatula clypeata
Chardonneret élégant,Carduelis carduelis
Chevalier guignette,Actitis hypoleucos
Choucas des tours,Coloeus monedula
Chouette hulotte,Strix aluco
Cigogne blanche,Ciconia ciconia
Corbeau freux,Corvus frugilegus
Corneille noire,Corvus corone
Coucou gris,Cuculus canorus
Cygne noir,Cygnus atratus
Cygne tuberculé,Cygnus olor
Épervier d'Europe,Accipiter nisus
Étourneau sansonnet,Sturnus vulgaris
Faucon crécerelle,Falco tinnunculus
Faucon hobereau,Falco subbuteo
Fauvette à tête noire,Sylvia atricapilla
Fauvette babillarde,Curruca curruca
Fauvette des jardins,Sylvia borin
Fauvette grisette,Curruca communis
Foulque macroule,Fulica atra
Fuligule milouin,Aythya ferina
Fuligule morillon,Aythya fuligula
Fuligule nyroca,Aythya nyroca
Gallinule poule-d'eau,Gallinula chloropus
Geai des chênes,Garrulus glandarius
Gobemouche gris,Muscicapa striata
Gobemouche noir,Ficedula hypoleuca
Goéland argenté,Larus argentatus
Goéland brun,Larus fuscus
Goéland indéterminé,Larus sp.
Grand Cormoran,Phalacrocorax carbo
Grande Aigrette,Ardea alba
Grèbe castagneux,Tachybaptus ruficollis
Grèbe huppé,Podiceps cristatus
Grimpereau des jardins,Certhia brachydactyla
Grive draine,Turdus viscivorus
Grive mauvis,Turdus iliacus
Grive musicienne,Turdus philomelos
Grosbec casse-noyaux,Coccothraustes coccothraustes
Grue cendrée,Grus grus
Héron cendré,Ardea cinerea
Hirondelle de fenêtre,Delichon urbicum
Hirondelle de rivage,Riparia riparia
Hirondelle rustique,Hirundo rustica
Hypolaïs polyglotte,Hippolais polyglotta
Linotte mélodieuse,Linaria cannabina
Loriot d'Europe,Oriolus oriolus
Martin-pêcheur d'Europe,Alcedo atthis
Martinet noir,Apus apus
Merle / Grive indéterminé,Turdus sp.
Merle noir,Turdus merula
Mésange à longue queue,Aegithalos caudatus
Mésange bleue,Cyanistes caeruleus
Mésange boréale,Poecile montanus
Mésange charbonnière,Parus major
Mésange huppée,Lophophanes cristatus
Mésange noire,Periparus ater
Mésange nonnette,Poecile palustris
Milan noir,Milvus migrans
Moineau domestique,Passer domesticus
Mouette mélanocéphale,Ichthyaetus melanocephalus
Mouette rieuse,Chroicocephalus ridibundus
Nette rousse,Netta rufina
Oie à tête barrée,Anser indicus
Ouette d'Égypte,Alopochen aegyptiaca
Perruche à collier,Psittacula krameri
Pic épeiche,Dendrocopos major
Pic épeichette,Dryobates minor
Pic mar,Dendrocoptes medius
Pic noir,Dryocopus martius
Pic vert,Picus viridis
Pie bavarde,Pica pica
Pigeon biset domestique,Columba livia f. domestica
Pigeon colombin,Columba oenas
Pigeon indéterminé,Columba sp.
Pigeon ramier,Columba palumbus
Pinson des arbres,Fringilla coelebs
Pinson du Nord,Fringilla montifringilla
Plongeon imbrin,Gavia immer
Pouillot fitis,Phylloscopus trochilus
Pouillot siffleur,Phylloscopus sibilatrix
Pouillot véloce,Phylloscopus collybita
Pouillot véloce (ssp. collybita),Phylloscopus collybita collybita
Râle d'eau,Rallus aquaticus
Rémiz penduline,Remiz pendulinus
Roitelet à triple bandeau,Regulus ignicapilla
Roitelet huppé,Regulus regulus
Rossignol philomèle,Luscinia megarhynchos
Rougegorge familier,Erithacus rubecula
Rougequeue à front blanc,Phoenicurus phoenicurus
Rougequeue noir,Phoenicurus ochruros
Rousserolle effarvatte,Acrocephalus scirpaceus
Rousserolle verderolle,Acrocephalus palustris
Sarcelle d'été,Spatula querquedula
Sarcelle d'hiver,Anas crecca
Serin cini,Serinus serinus
Sittelle torchepot,Sitta europaea
Sizerin cabaret,Acanthis flammea cabaret
Sizerin flammé / cabaret,Acanthis flammea flammea / cabaret
Sterne indéterminée,Sternidae sp.
Sterne pierregarin,Sterna hirundo
Tarier pâtre,Saxicola rubicola
Tarin des aulnes,Spinus spinus
Tourterelle des bois,Streptopelia turtur
Tourterelle turque,Streptopelia decaocto
Troglodyte mignon,Troglodytes troglodytes
Verdier d'Europe,Chloris chloris
