nom,sci,groupe
Triton ponctué (Le),Lissotriton vulgaris,Amphibiens
Sonneur à ventre jaune (Le),Bombina variegata,Amphibiens
Grenouille rousse (La),Rana temporaria,Amphibiens
Grenouille agile (La),Rana dalmatina,Amphibiens
Pélodyte ponctué (Le),Pelodytes punctatus,Amphibiens
Rainette verte (La),Hyla arborea,Amphibiens
Triton marbré (Le),Triturus marmoratus,Amphibiens
Grenouille de Lessona (La),Pelophylax lessonae,Amphibiens
Grenouille verte (La),Pelophylax kl. esculentus,Amphibiens
Crapaud calamite (Le),Epidalea calamita,Amphibiens
Salamandre tachetée (La),Salamandra salamandra,Amphibiens
Onagre laciniée,Oenothera laciniata,Angiospermes
Bolbochoin maritime,Bolboschoenus maritimus,Angiospermes
Pâturin des marais,Poa palustris,Angiospermes
Corisperme de Pallas,Corispermum pallasii,Angiospermes
Petite cigüe,Aethusa cynapium,Angiospermes
Mélilot bleu,Trigonella caerulea,Angiospermes
Véronique mouron-d'eau,Veronica anagallis-aquatica,Angiospermes
Fausse fumeterre jaune,Pseudo-fumaria lutea,Angiospermes
Petite chénorrhine,Chaenorhinum minus,Angiospermes
Littorelle à une fleur,Littorella uniflora,Angiospermes
Échinops à tête ronde,Echinops sphaerocephalus,Angiospermes
Tabac rustique,Nicotiana rustica,Angiospermes
Érythrée petite-centaurée,Centaurium erythraea,Angiospermes
Lombric commun,Lumbricus terrestris,Annélides
Ver du fumier,Eisenia fetida,Annélides
Sangsue géomètre,Piscicola geometra,Annélides
Helobdelle des étangs,Helobdella stagnalis,Annélides
Sangsue médicinale,Hirudo medicinalis,Annélides
Pirate commune,Pirata piraticus,Arachnides
Érigone noire,Erigone atra,Arachnides
Drassode lapidicole,Drassodes lapidosus,Arachnides
Chiracanthe nourrice,Cheiracanthium punctorium,Arachnides
Épeire frelon,Argiope bruennichi,Arachnides
Ulobore de Walckenaer,Uloborus walckenaerius,Arachnides
Épeire angulaire,Araneus angulatus,Arachnides
Stéatode domestique,Steatoda grossa,Arachnides
Thomise à trois taches,Ebrechtella tricuspidata,Arachnides
Méta d'automne,Metellina segmentata,Arachnides
Ozyptile sablée,Ozyptila atomaria,Arachnides
Épeires concombres,Araniella cucurbitina,Arachnides
Tramète hirsute,Trametes hirsuta,Autres
Faux hydne gélatineux,Pseudohydnum gelatinosum,Autres
Lépiote à base couleur de feu,Lepiota ignivolvata,Autres
Collybie des chênes,Collybia dryophila,Autres
Bolet bai,Imleria badia,Autres
Lactaire à lames interveinées,Lactarius acerrimus,Autres
Panelle astringente,Panellus stipticus,Autres
Tricholome rutilant,Tricholomopsis rutilans,Autres
Lactaire humide,Lactarius uvidus,Autres
Hypholome hydrophile,Psathyrella piluliformis,Autres
Lépiote élevée,Macrolepiota procera,Autres
Lactaire à toison,Lactarius torminosus,Autres
Lactaire poivré,Lactifluus piperatus,Autres
Gomphide visqueux,Chroogomphus rutilus,Autres
Polypore flamboyant,Pycnoporellus fulgens,Autres
Tricholome prétentieux,Tricholoma portentosum,Autres
Russule sardoine,Russula sardonia,Autres
Mulette méridionale,Unio mancus,Bivalves
Cyclade cerise,Sphaerium nucleus,Bivalves
Mulette épaisse,Unio crassus,Bivalves
Pisidie des plaines,Euglesa supina,Bivalves
Anodonte des rivières,Anodonta anatina,Bivalves
Cyclade commune,Sphaerium corneum,Bivalves
Cyclade de vase,Sphaerium lacustre,Bivalves
Cyclade ovale,Sphaerium ovale,Bivalves
Mulette des peintres,Unio pictorum,Bivalves
Pisidie de vase,Pisidium amnicum,Bivalves
Pisidie robuste,Euglesa casertana,Bivalves
Anodonte des étangs,Anodonta cygnea,Bivalves
Anodonte comprimée,Pseudanodonta complanata,Bivalves
Cyclade des fleuves,Sphaerium solidum,Bivalves
Mulette des rivières,Potomida littoralis,Bivalves
Anodonte chinoise,Sinanodonta woodiana,Bivalves
Corbicule striolée,Corbicula fluminalis,Bivalves
Grande cyclade,Sphaerium rivicola,Bivalves
Pisidie ubique,Euglesa nitida,Bivalves
Pisidie des gardons,Euglesa henslowana,Bivalves
Chirocéphale diaphane (Le),Chirocephalus diaphanus,Crustacés
Écrevisse de Californie (L'),Pacifastacus leniusculus,Crustacés
Écrevisse à pieds blancs (L'),Austropotamobius pallipes,Crustacés
Daphnie puce (La),Daphnia pulex,Crustacés
Écrevisse américaine (L'),Faxonius limosus,Crustacés
Branchipe stagnal (Le),Tanymastix stagnalis,Crustacés
Philoscie des mousses (La),Philoscia muscorum,Crustacés
Écrevisse à pattes rouges (L'),Astacus astacus,Crustacés
Cypris religieuse (La),Notodromas monacha,Crustacés
Cloporte commun (Le),Armadillidium vulgare,Crustacés
Aselle aquatique (L'),Asellus (Asellus) aquaticus,Crustacés
Ligie des hypnes (La),Ligidium hypnorum,Crustacés
Caridine,Atyaephyra desmarestii,Crustacés
Cloporte commun (Le),Oniscus asellus,Crustacés
Podure noire aquatique,Podura aquatica,Entognathes
Limnée des étangs,Stagnicola palustris,Gastéropodes
Ambrette élégante,Oxyloma elegans,Gastéropodes
Vertigo commun,Vertigo pygmaea,Gastéropodes
Moine globuleux,Monacha cantiana,Gastéropodes
Auriculette commune,Carychium tridentatum,Gastéropodes
Veloutée plane,Helicodonta obvoluta,Gastéropodes
Caragouille globuleuse,Cernuella virgata,Gastéropodes
Escargot turc,Helix lucorum,Gastéropodes
Planorbine voyageuse,Gyraulus parvus,Gastéropodes
Conule des bois,Euconulus fulvus,Gastéropodes
Escargot des forêts,Macularia sylvatica,Gastéropodes
Caragouille élargie,Cernuella neglecta,Gastéropodes
Planorbe ombiliquée,Bathyomphalus contortus,Gastéropodes
Grand luisant,Oxychilus draparnaudi,Gastéropodes
Limnée étroite,Omphiscola glabra,Gastéropodes
Escargotin hérisson,Acanthinula aculeata,Gastéropodes
Luisantine des marais,Zonitoides nitidus,Gastéropodes
Maillot des mousses,Pupilla muscorum,Gastéropodes
Thuya d'Occident,Thuja occidentalis,Gymnospermes
Mélèze d'Europe,Larix decidua,Gymnospermes
Cyprès toujours vert,Cupressus sempervirens,Gymnospermes
Sapin de Nordmann,Abies nordmanniana,Gymnospermes
Taxodium distique,Taxodium distichum,Gymnospermes
Thuya plié,Thuja plicata,Gymnospermes
Platycladus d'Orient,Platycladus orientalis,Gymnospermes
Pin de Wallich,Pinus wallichiana,Gymnospermes
Séquoia toujours vert,Sequoia sempervirens,Gymnospermes
Pin sylvestre,Pinus sylvestris,Gymnospermes
Pin noir,Pinus nigra,Gymnospermes
Séquoiadendron géant,Sequoiadendron giganteum,Gymnospermes
Pin maritime,Pinus pinaster,Gymnospermes
Noctuelle négligée (La),Xestia castanea,Insectes
Punaise verte bleuâtre,Zicrona caerulea,Insectes
Phycide du pin,Dioryctria simplicella,Insectes
Petit Cycliste à pattes rouges,Chrysanthia geniculata,Insectes
Botys du panicaut champêtre,Udea institalis,Insectes
Sésie de la Viorne,Synanthedon andrenaeformis,Insectes
Eupithécie frappée (L'),Eupithecia icterata,Insectes
Criquet des Pins,Chorthippus vagans,Insectes
Charançon influent,Dorytomus longimanus,Insectes
Boarmie pétrifiée (La),Menophra abruptaria,Insectes
Géocore à tête rouge,Geocoris erythrocephalus,Insectes
Osmyle à tête jaune,Osmylus fulvicephalus,Insectes
Aiguille métallisée,Agapanthia intermedia,Insectes
Louvette (La),Korscheltellus lupulinus,Insectes
Eucnème masqué,Melasis buprestoides,Insectes
Lithosie ocre (La),Katha depressa,Insectes
Lichen encroûtant jaune,Xanthoria parietina,Lichens
Grand rhinolophe,Rhinolophus ferrumequinum,Mammifères
Rat noir,Rattus rattus,Mammifères
Chevreuil européen,Capreolus capreolus,Mammifères
Murin de Daubenton,Myotis daubentonii,Mammifères
Murin à moustaches,Myotis mystacinus,Mammifères
Campagnol souterrain,Microtus subterraneus,Mammifères
Pipistrelle de Kuhl,Pipistrellus kuhlii,Mammifères
Renard roux,Vulpes vulpes,Mammifères
Vespertilion bicolore,Vespertilio murinus,Mammifères
Loir gris,Glis glis,Mammifères
Pipistrelle de Nathusius,Pipistrellus nathusii,Mammifères
Pipistrelle pygmée,Pipistrellus pygmaeus,Mammifères
Campagnol amphibie,Arvicola sapidus,Mammifères
Fouine,Martes foina,Mammifères
Pipistrelle commune,Pipistrellus pipistrellus,Mammifères
Coussinet des bois,Leucobryum glaucum,Mousses
Lithobie à pinces,Lithobius forficatus,Myriapodes
Hénia commune,Henia vesuviana,Myriapodes
Grand Cryptops,Cryptops anomalans,Myriapodes
Scutigère véloce,Scutigera coleoptrata,Myriapodes
Lithobie masqué,Lithobius melanops,Myriapodes
Géophile électrique,Geophilus electricus,Myriapodes
Cryptops de Paris,Cryptops parisi,Myriapodes
Lithobie à pattes épaisses,Lithobius crassipes,Myriapodes
Strigamie acuminée,Strigamia acuminata,Myriapodes
Géophile carpophage,Geophilus carpophagus,Myriapodes
Géophile jaune,Geophilus flavus,Myriapodes
Stigmatogastre commun,Stigmatogaster subterranea,Myriapodes
Lithobie maigre,Lithobius macilentus,Myriapodes
Lithobie minuscule,Lithobius microps,Myriapodes
Lithobie mutique,Lithobius muticus,Myriapodes
Géophile ferrugineux,Pachymerium ferrugineum,Myriapodes
Gobie demi-lune,Proterorhinus semilunaris,Poissons
Vandoise,Leuciscus leuciscus,Poissons
Épinoche à trois épines,Gasterosteus aculeatus,Poissons
Pseudorasbora,Pseudorasbora parva,Poissons
Carassin doré,Carassius auratus,Poissons
Gobie à tache noire,Neogobius melanostomus,Poissons
Perche-soleil,Lepomis gibbosus,Poissons
Vairon,Phoxinus phoxinus,Poissons
Goujon,Gobio gobio,Poissons
Chevesne commun,Squalius cephalus,Poissons
Gardon,Rutilus rutilus,Poissons
Ophioglosse des Açores,Ophioglossum azoricum,Ptéridophytes
Polypode intermédiaire,Polypodium interjectum,Ptéridophytes
Fougère femelle,Athyrium filix-femina,Ptéridophytes
Doradille du Nord,Asplenium septentrionale,Ptéridophytes
Ptéridion aigle,Pteridium aquilinum,Ptéridophytes
Prêle très rameuse,Equisetum ramosissimum,Ptéridophytes
Polystic à aiguillons,Polystichum aculeatum,Ptéridophytes
Cystoptéride fragile,Cystopteris fragilis,Ptéridophytes
Botryche lunaire,Botrychium lunaria,Ptéridophytes
Doradille scolopendre,Asplenium scolopendrium,Ptéridophytes
Struthioptéride en épi,Struthiopteris spicant,Ptéridophytes
Prêle des marais,Equisetum palustre,Ptéridophytes
Polypode commun,Polypodium vulgare,Ptéridophytes
Vipère aspic (La),Vipera aspis,Reptiles
Lézard à deux raies (Le),Lacerta bilineata,Reptiles
Lézard vivipare (Le),Zootoca vivipara,Reptiles
Vipère péliade (La),Vipera berus,Reptiles
Lézard des souches,Lacerta agilis,Reptiles
