Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.82496498108209, -0.5826971070140672;"{""coordinates"": [-0.582697107014067, 44.82496498108209], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79891;79891;Jardin des Dames de la foi 28;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.82485279489022, -0.5818885174108315;"{""coordinates"": [-0.581888517410831, 44.82485279489022], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79893;79893;Jardin des Dames de la foi 71;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.824891136246066, -0.5824360699076871;"{""coordinates"": [-0.582436069907687, 44.824891136246066], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79898;79898;Jardin des Dames de la foi 122;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.85437462387557, -0.5992931749468693;"{""coordinates"": [-0.599293174946869, 44.85437462387557], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79908;79908;Parc Bordelais S Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.88620214688763, -0.5389649262306322;"{""coordinates"": [-0.538964926230632, 44.88620214688763], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79913;79913;Parc des Berges de Garonne D 76;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.84970556350323, -0.5793624952694811;"{""coordinates"": [-0.579362495269481, 44.84970556350323], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79915;79915;Jardin Public JB A 8 Jardin Botanique;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85011631934097, -0.5807548938900732;"{""coordinates"": [-0.580754893890073, 44.85011631934097], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79920;79920;Jardin Public U 1 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84869748818537, -0.578055339140325;"{""coordinates"": [-0.578055339140325, 44.84869748818537], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79921;79921;Jardin Public G 16 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.854524018887595, -0.6040382342703873;"{""coordinates"": [-0.604038234270387, 44.854524018887595], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79923;79923;Parc Bordelais Abris Uu Lac;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.854020094577976, -0.6305164392434941;"{""coordinates"": [-0.630516439243494, 44.854020094577976], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79924;79924;Parc Monséjour 11;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84773397455367, -0.56429699156094;"{""coordinates"": [-0.56429699156094, 44.84773397455367], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79928;79928;Parc des Berges de Queyries Quai de Queyries_B 112;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.84812735314189, -0.5794281579325548;"{""coordinates"": [-0.579428157932555, 44.84812735314189], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79930;79930;Jardin Public F 6 Aire de jeux-Entrée;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85431464806744, -0.6005003906828041;"{""coordinates"": [-0.600500390682804, 44.85431464806744], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79932;79932;Parc Bordelais L 16 Chênaie;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.877460414808546, -0.5738700897295438;"{""coordinates"": [-0.573870089729544, 44.877460414808546], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79933;79933;Parc Denis et Eugène Bühler A 92;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.84908891130452, -0.5761656362560668;"{""coordinates"": [-0.576165636256067, 44.84908891130452], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79984;79984;Jardin Public O12 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85357336830592, -0.5990873344310302;"{""coordinates"": [-0.59908733443103, 44.85357336830592], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79987;79987;Parc Bordelais H 24 Lisière;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
